,property_type,place_name,state_name,price_aprox_usd,surface_covered_in_m2,ambientes,baños,balcón,cochera,parrilla,pileta,amoblado,lavadero,patio,terraza,jardin
0,apartment,Mataderos,Capital Federal,72000.0,55.0,2.0,1.0,0,0,0,0,0,1,0,0,0
1,PH,Munro,Bs.As. G.B.A. Zona Norte,130000.0,78.0,1.0,1.0,0,0,0,0,0,1,1,0,0
2,apartment,Belgrano,Capital Federal,138000.0,40.0,1.0,1.0,0,0,0,1,0,0,0,0,0
3,apartment,Belgrano,Capital Federal,195000.0,60.0,1.0,1.0,0,0,0,1,0,0,0,0,0
4,apartment,Palermo Soho,Capital Federal,111700.0,30.0,1.0,1.0,1,0,0,1,0,0,0,1,0
5,apartment,Palermo Soho,Capital Federal,147900.0,31.0,1.0,1.0,1,0,0,1,0,0,0,0,0
6,PH,Mataderos,Capital Federal,239000.0,98.0,4.0,1.0,0,1,1,0,0,0,0,0,0
7,house,Tigre,Bs.As. G.B.A. Zona Norte,570000.0,270.0,1.0,1.0,0,0,0,1,0,1,0,0,0
8,apartment,Palermo,Capital Federal,350000.0,96.0,3.0,1.0,1,0,0,0,0,0,0,1,0
9,apartment,Palermo,Capital Federal,270500.0,73.0,4.0,1.0,0,0,0,0,0,0,1,0,0
10,apartment,Pilar,Bs.As. G.B.A. Zona Norte,82000.0,42.0,2.0,1.0,0,1,0,1,0,0,0,0,1
11,apartment,Flores,Capital Federal,75000.0,43.0,2.0,1.0,1,0,0,0,0,0,0,0,0
12,house,Pilar,Bs.As. G.B.A. Zona Norte,178000.0,150.0,1.0,2.0,0,1,1,1,0,0,0,0,0
13,house,Munro,Bs.As. G.B.A. Zona Norte,130000.0,103.0,1.0,1.0,0,1,0,0,0,0,1,0,0
14,PH,Munro,Bs.As. G.B.A. Zona Norte,169000.0,160.0,6.0,1.0,0,1,0,0,0,0,1,0,0
15,house,Pilar,Bs.As. G.B.A. Zona Norte,400000.0,400.0,1.0,1.0,0,1,0,1,0,0,0,0,0
16,house,Pilar,Bs.As. G.B.A. Zona Norte,128000.0,120.0,1.0,1.0,0,1,1,0,0,1,0,0,1
17,apartment,Del Viso,Bs.As. G.B.A. Zona Norte,120000.0,74.0,3.0,1.0,0,1,1,1,0,0,0,1,0
18,apartment,Pilar,Bs.As. G.B.A. Zona Norte,79000.0,32.0,1.0,1.0,0,1,0,1,0,0,0,0,0
19,house,Pilar,Bs.As. G.B.A. Zona Norte,320000.0,209.0,1.0,1.0,0,1,1,0,0,1,0,0,0
20,PH,Pilar,Bs.As. G.B.A. Zona Norte,165000.0,140.0,4.0,1.0,0,1,1,1,0,0,1,1,0
21,apartment,Balvanera,Capital Federal,240000.0,124.0,5.0,1.0,1,1,0,0,0,0,0,1,0
22,house,Escobar,Bs.As. G.B.A. Zona Norte,245000.0,250.0,1.0,1.0,0,0,0,0,0,0,0,0,0
23,apartment,San Isidro,Bs.As. G.B.A. Zona Norte,440000.0,122.0,4.0,1.0,1,1,1,1,0,1,0,1,0
24,house,Boedo,Capital Federal,550000.0,324.0,1.0,1.0,0,1,1,1,0,1,1,1,1
25,apartment,Caballito,Capital Federal,110000.0,50.0,3.0,1.0,1,0,0,0,0,1,0,0,0
26,apartment,Caballito,Capital Federal,170500.0,46.0,2.0,1.0,0,0,0,0,0,0,0,0,0
27,apartment,Caballito,Capital Federal,220410.0,75.0,3.0,1.0,0,1,0,0,0,0,0,0,0
28,apartment,Caballito,Capital Federal,222780.0,75.0,3.0,1.0,0,1,0,0,0,0,0,0,0
29,house,San Isidro,Bs.As. G.B.A. Zona Norte,440000.0,261.0,1.0,1.0,0,1,1,1,0,1,0,0,1
30,apartment,Caballito,Capital Federal,108000.0,67.0,3.0,1.0,1,0,0,0,0,1,0,0,0
31,apartment,Nuñez,Capital Federal,173000.0,50.0,2.0,1.0,1,1,0,1,0,0,0,1,0
32,house,Pilar,Bs.As. G.B.A. Zona Norte,159000.0,140.0,1.0,1.0,0,0,0,0,0,1,0,0,1
33,house,Caseros,Bs.As. G.B.A. Zona Oeste,260000.0,228.0,5.0,1.0,0,1,0,0,0,0,1,1,1
34,apartment,Almagro,Capital Federal,109900.0,40.0,2.0,1.0,1,1,1,1,0,0,1,1,0
35,house,Nordelta,Bs.As. G.B.A. Zona Norte,550000.0,265.0,1.0,1.0,0,0,1,1,0,1,0,0,1
36,apartment,Boulogne Sur Mer,Bs.As. G.B.A. Zona Norte,55000.0,60.0,1.0,1.0,0,0,0,0,0,1,0,0,0
37,house,Capital Federal,Capital Federal,490000.0,350.0,1.0,1.0,0,1,1,1,0,0,0,0,1
38,PH,San Isidro,Bs.As. G.B.A. Zona Norte,160000.0,90.0,1.0,1.0,0,0,0,0,0,0,0,1,0
39,apartment,San Isidro,Bs.As. G.B.A. Zona Norte,160000.0,90.0,1.0,1.0,0,0,0,0,0,0,0,1,0
40,house,Victoria,Bs.As. G.B.A. Zona Norte,570000.0,285.0,1.0,1.0,0,1,0,1,0,1,0,0,0
41,apartment,San Isidro,Bs.As. G.B.A. Zona Norte,175000.0,75.0,1.0,1.0,1,1,0,0,0,1,0,0,0
42,house,Capital Federal,Capital Federal,440000.0,261.0,1.0,1.0,0,1,1,1,0,1,0,0,1
43,house,Benavidez,Bs.As. G.B.A. Zona Norte,497000.0,256.0,1.0,1.0,0,1,1,1,0,1,1,0,0
44,house,Beccar,Bs.As. G.B.A. Zona Norte,370000.0,200.0,1.0,1.0,0,0,0,0,0,1,0,0,1
45,house,Capital Federal,Capital Federal,320000.0,185.0,1.0,1.0,0,0,0,1,0,1,1,0,0
46,apartment,Belgrano,Capital Federal,178000.0,55.0,1.0,1.0,1,1,0,0,0,1,0,0,0
47,house,Capital Federal,Capital Federal,370000.0,240.0,1.0,1.0,0,0,0,1,0,1,0,0,1
48,house,Banfield,Bs.As. G.B.A. Zona Sur,165000.0,70.0,1.0,1.0,0,0,0,0,0,1,1,0,0
49,PH,Colegiales,Capital Federal,249000.0,126.0,6.0,1.0,0,0,0,0,0,0,1,1,0
50,house,Floresta,Capital Federal,219500.0,170.0,3.0,1.0,0,0,0,1,0,0,0,0,0
51,apartment,Benavidez,Bs.As. G.B.A. Zona Norte,185000.0,100.0,3.0,1.0,1,1,1,1,0,0,0,1,0
52,apartment,Acassuso,Bs.As. G.B.A. Zona Norte,380000.0,91.0,3.0,1.0,1,1,1,1,0,1,0,1,0
53,apartment,Balvanera,Capital Federal,129000.0,80.0,4.0,1.0,0,0,0,0,0,0,0,0,0
54,PH,Quilmes,Bs.As. G.B.A. Zona Sur,130000.0,94.0,3.0,1.0,0,0,0,0,0,0,0,1,0
55,apartment,Caseros,Bs.As. G.B.A. Zona Oeste,64800.0,39.0,2.0,1.0,0,1,0,0,0,0,0,1,0
56,apartment,Caballito,Capital Federal,128000.0,51.0,2.0,1.0,1,1,0,0,0,1,0,0,0
57,apartment,Balvanera,Capital Federal,118000.0,71.0,1.0,1.0,0,0,0,0,0,0,0,0,0
58,apartment,Barrio Norte,Capital Federal,93000.0,35.0,1.0,1.0,0,0,0,0,1,0,0,0,0
59,house,Belén de Escobar,Bs.As. G.B.A. Zona Norte,130000.0,140.0,5.0,1.0,0,1,1,1,0,0,0,0,0
60,PH,Barracas,Capital Federal,160000.0,120.0,5.0,1.0,0,0,1,0,0,0,0,1,0
61,apartment,Ramos Mejía,Bs.As. G.B.A. Zona Oeste,110000.0,60.0,3.0,1.0,0,0,0,0,0,1,0,0,0
62,apartment,Recoleta,Capital Federal,380000.0,196.0,7.0,2.0,0,0,0,0,0,0,0,0,0
63,PH,Palermo,Capital Federal,315000.0,200.0,1.0,1.0,0,1,0,0,0,1,1,1,0
64,apartment,Belgrano,Capital Federal,240000.0,54.0,2.0,1.0,1,1,1,0,0,0,0,1,0
65,house,Belén de Escobar,Bs.As. G.B.A. Zona Norte,120000.0,140.0,1.0,1.0,0,0,0,0,0,0,0,0,0
66,apartment,Belén de Escobar,Bs.As. G.B.A. Zona Norte,45988.61,29.0,1.0,1.0,0,1,0,0,0,0,0,0,0
67,apartment,Belén de Escobar,Bs.As. G.B.A. Zona Norte,67300.41,45.0,2.0,1.0,0,1,0,0,0,0,0,0,0
68,apartment,Belgrano,Capital Federal,550000.0,150.0,4.0,1.0,0,1,0,0,0,1,0,0,0
69,apartment,Belgrano,Capital Federal,237895.0,53.0,2.0,1.0,0,1,0,1,0,0,1,1,0
70,apartment,Belgrano,Capital Federal,237895.0,53.0,2.0,1.0,0,1,0,1,0,0,1,1,0
71,apartment,Flores,Capital Federal,99000.0,62.0,3.0,1.0,0,0,0,0,0,1,0,0,0
72,apartment,Nuñez,Capital Federal,229000.0,59.0,2.0,1.0,0,1,1,0,0,0,0,1,0
73,apartment,Nuñez,Capital Federal,135000.0,39.0,1.0,1.0,0,1,1,0,0,0,0,1,0
74,apartment,Recoleta,Capital Federal,620000.0,181.0,5.0,2.0,1,1,0,0,0,1,0,0,0
75,PH,Almagro,Capital Federal,165000.0,85.0,4.0,1.0,0,0,0,0,0,0,0,0,0
76,house,Nordelta,Bs.As. G.B.A. Zona Norte,650000.0,343.0,1.0,1.0,0,1,0,1,0,1,0,0,0
77,house,Tigre,Bs.As. G.B.A. Zona Norte,420000.0,300.0,1.0,1.0,0,0,0,0,0,0,0,0,0
78,house,Benavidez,Bs.As. G.B.A. Zona Norte,420000.0,300.0,1.0,1.0,0,0,0,0,0,0,0,0,0
79,house,Tigre,Bs.As. G.B.A. Zona Norte,420000.0,300.0,1.0,1.0,0,0,0,0,0,0,0,0,0
80,apartment,Palermo,Capital Federal,147300.0,35.0,1.0,1.0,1,0,1,0,0,0,0,0,0
81,house,San Miguel,Bs.As. G.B.A. Zona Norte,260000.0,250.0,1.0,1.0,0,1,0,1,0,0,0,0,0
82,apartment,Puerto Madero,Capital Federal,550000.0,99.0,4.0,2.0,1,1,0,1,0,0,0,0,0
83,apartment,San Isidro,Bs.As. G.B.A. Zona Norte,310000.0,80.0,3.0,1.0,0,1,1,0,0,1,0,1,0
84,apartment,Puerto Madero,Capital Federal,1195000.0,185.0,4.0,1.0,1,1,1,1,0,1,0,1,0
85,apartment,Belgrano,Capital Federal,340000.0,120.0,4.0,1.0,1,1,0,0,0,1,0,0,0
86,apartment,Recoleta,Capital Federal,120000.0,33.0,1.0,1.0,0,1,0,1,0,0,0,0,0
87,apartment,Palermo,Capital Federal,440000.0,175.0,4.0,1.0,1,1,1,0,0,1,1,1,0
88,apartment,Colegiales,Capital Federal,238000.0,120.0,4.0,1.0,1,1,0,0,0,1,0,0,0
89,apartment,Barrio Norte,Capital Federal,98000.0,37.0,3.0,1.0,0,0,0,0,0,0,0,0,0
90,apartment,Palermo Hollywood,Capital Federal,135000.0,41.0,2.0,1.0,1,0,0,0,0,0,0,0,0
91,apartment,Saavedra,Capital Federal,95000.0,32.0,1.0,1.0,1,0,1,1,0,0,0,1,0
92,apartment,Saavedra,Capital Federal,181000.0,67.0,1.0,1.0,1,0,1,1,0,1,0,0,0
93,apartment,Castelar,Bs.As. G.B.A. Zona Oeste,143000.0,62.0,1.0,1.0,1,1,0,0,0,0,0,0,0
94,apartment,Castelar,Bs.As. G.B.A. Zona Oeste,120000.0,44.0,2.0,1.0,1,0,0,0,0,1,0,0,0
95,apartment,Castelar,Bs.As. G.B.A. Zona Oeste,160000.0,80.0,1.0,1.0,0,0,1,1,0,0,0,0,0
96,apartment,Olivos,Bs.As. G.B.A. Zona Norte,265000.0,70.0,2.0,1.0,1,1,1,0,0,0,0,1,0
97,house,Haedo,Bs.As. G.B.A. Zona Oeste,320000.0,230.0,5.0,1.0,0,1,1,0,0,0,1,1,0
98,house,Benavidez,Bs.As. G.B.A. Zona Norte,570000.0,240.0,1.0,1.0,0,1,1,1,0,1,0,1,1
99,PH,Ramos Mejía,Bs.As. G.B.A. Zona Oeste,110000.0,68.0,3.0,1.0,0,0,0,0,0,1,0,0,0
100,house,Capital Federal,Capital Federal,350000.0,185.0,1.0,1.0,0,0,1,0,0,0,0,0,0
101,apartment,Victoria,Bs.As. G.B.A. Zona Norte,440000.0,122.0,1.0,1.0,0,1,1,1,0,0,0,0,0
102,apartment,San Fernando,Bs.As. G.B.A. Zona Norte,95000.0,43.0,2.0,1.0,1,1,0,0,0,0,0,0,0
103,house,Beccar,Bs.As. G.B.A. Zona Norte,295000.0,149.0,1.0,1.0,0,1,0,0,0,1,0,0,0
104,house,Capital Federal,Capital Federal,245000.0,135.0,1.0,1.0,0,1,0,1,0,1,0,0,1
105,house,Capital Federal,Capital Federal,430000.0,156.0,1.0,1.0,0,0,0,0,0,0,1,0,0
106,house,Capital Federal,Capital Federal,430000.0,156.0,1.0,1.0,0,0,0,0,0,0,1,0,0
107,house,Benavidez,Bs.As. G.B.A. Zona Norte,260000.0,150.0,1.0,1.0,0,0,1,0,0,0,0,0,1
108,apartment,San Fernando,Bs.As. G.B.A. Zona Norte,93000.0,54.0,1.0,1.0,0,0,0,0,0,1,0,0,0
109,apartment,Victoria,Bs.As. G.B.A. Zona Norte,118000.0,45.0,2.0,1.0,0,1,0,1,0,0,0,0,0
110,house,Benavidez,Bs.As. G.B.A. Zona Norte,360000.0,200.0,1.0,1.0,0,0,1,1,0,1,0,0,0
111,apartment,San Isidro,Bs.As. G.B.A. Zona Norte,270000.0,80.0,1.0,1.0,0,1,0,0,0,1,0,0,0
112,house,Nordelta,Bs.As. G.B.A. Zona Norte,1250000.0,400.0,1.0,1.0,0,1,1,0,0,1,0,0,0
113,apartment,Acassuso,Bs.As. G.B.A. Zona Norte,88000.0,38.0,1.0,1.0,0,0,0,0,0,1,0,1,0
114,house,Acassuso,Bs.As. G.B.A. Zona Norte,435000.0,230.0,1.0,1.0,0,1,1,1,0,0,0,0,1
115,house,San Fernando,Bs.As. G.B.A. Zona Norte,300000.0,260.0,1.0,1.0,0,0,0,0,0,0,0,0,1
116,apartment,San Fernando,Bs.As. G.B.A. Zona Norte,110000.0,70.0,1.0,1.0,0,0,0,0,0,0,0,0,0
117,apartment,Barracas,Capital Federal,295000.0,128.0,4.0,1.0,1,0,0,0,0,1,0,0,0
118,house,Villa Ballester,Bs.As. G.B.A. Zona Norte,130000.0,112.0,4.0,1.0,0,0,0,0,0,0,1,0,0
119,apartment,General San Martín,Bs.As. G.B.A. Zona Norte,150000.0,47.0,3.0,1.0,0,0,0,0,0,1,1,0,0
120,apartment,Paternal,Capital Federal,63245.56,27.0,1.0,1.0,0,0,1,0,0,0,0,0,0
121,apartment,Paternal,Capital Federal,64046.43,27.0,1.0,1.0,0,0,1,0,0,0,0,0,0
122,apartment,Paternal,Capital Federal,74451.92,32.0,1.0,1.0,0,0,1,0,0,0,0,0,0
123,apartment,Paternal,Capital Federal,75411.79,32.0,1.0,1.0,0,0,1,0,0,0,0,0,0
124,apartment,Paternal,Capital Federal,76371.66,32.0,1.0,1.0,0,0,1,0,0,0,0,0,0
125,apartment,Paternal,Capital Federal,63628.33,27.0,1.0,1.0,0,0,1,0,0,0,0,0,0
126,apartment,Paternal,Capital Federal,64435.09,27.0,1.0,1.0,0,0,1,0,0,0,0,0,0
127,apartment,Paternal,Capital Federal,65247.74,27.0,1.0,1.0,0,0,1,0,0,0,0,0,0
128,apartment,Paternal,Capital Federal,74628.58,33.0,1.0,1.0,0,0,1,0,0,0,0,0,0
129,apartment,Paternal,Capital Federal,75612.01,33.0,1.0,1.0,0,0,1,0,0,0,0,0,0
130,apartment,Paternal,Capital Federal,76589.55,33.0,1.0,1.0,0,0,1,0,0,0,0,0,0
131,apartment,Paternal,Capital Federal,65983.84,28.0,1.0,1.0,0,0,1,0,0,0,0,0,0
132,apartment,Paternal,Capital Federal,66825.94,28.0,1.0,1.0,0,0,1,0,0,0,0,0,0
133,apartment,Paternal,Capital Federal,67668.04,28.0,1.0,1.0,0,0,1,0,0,0,0,0,0
134,house,La Plata,Bs.As. G.B.A. Zona Sur,78517.14,110.0,4.0,1.0,0,1,0,0,0,0,0,0,0
135,apartment,La Plata,Bs.As. G.B.A. Zona Sur,102633.12,59.0,2.0,1.0,1,1,1,0,0,1,0,1,0
136,apartment,La Plata,Bs.As. G.B.A. Zona Sur,82443.0,45.0,2.0,1.0,1,1,1,0,0,1,0,1,0
137,apartment,La Plata,Bs.As. G.B.A. Zona Sur,108241.49,59.0,2.0,1.0,1,1,1,0,0,1,0,1,0
138,apartment,Puerto Madero,Capital Federal,350000.0,50.0,2.0,1.0,0,0,0,1,0,0,0,0,1
139,PH,Villa Pueyrredón,Capital Federal,198000.0,68.0,3.0,1.0,0,0,0,0,0,1,1,1,0
140,apartment,Caballito,Capital Federal,91000.0,37.0,1.0,1.0,1,1,1,0,0,0,0,0,0
141,apartment,Coghlan,Capital Federal,96000.0,34.0,1.0,1.0,1,1,0,0,0,0,0,1,0
142,apartment,Palermo,Capital Federal,179000.0,61.0,3.0,1.0,1,0,0,0,0,0,0,1,0
143,house,Tigre,Bs.As. G.B.A. Zona Norte,390000.0,200.0,1.0,1.0,0,0,1,1,0,1,0,1,1
144,apartment,Almagro,Capital Federal,210000.0,72.0,4.0,1.0,1,1,0,0,0,1,0,0,0
145,house,Pilar,Bs.As. G.B.A. Zona Norte,285000.0,172.0,1.0,1.0,0,0,1,1,0,1,0,0,0
146,house,Pilar,Bs.As. G.B.A. Zona Norte,270000.0,180.0,1.0,1.0,0,0,1,1,0,1,0,0,0
147,house,Pilar,Bs.As. G.B.A. Zona Norte,490000.0,440.0,1.0,1.0,0,0,1,1,0,1,0,0,0
148,house,Pilar,Bs.As. G.B.A. Zona Norte,420000.0,300.0,1.0,1.0,0,0,1,1,0,1,0,0,0
149,apartment,San Fernando,Bs.As. G.B.A. Zona Norte,85000.0,65.0,2.0,1.0,1,0,0,0,0,0,0,0,0
150,house,Vicente López,Bs.As. G.B.A. Zona Norte,570000.0,252.0,1.0,1.0,0,1,1,1,0,1,1,0,0
151,apartment,Puerto Madero,Capital Federal,350000.0,50.0,2.0,1.0,0,0,0,1,0,0,0,0,1
152,apartment,Puerto Madero,Capital Federal,330000.0,50.0,2.0,1.0,0,1,0,1,0,0,0,0,1
153,house,Pilar,Bs.As. G.B.A. Zona Norte,470000.0,315.0,1.0,1.0,0,1,1,1,0,1,0,0,0
154,apartment,San Telmo,Capital Federal,108356.0,36.0,1.0,1.0,0,1,1,1,0,0,1,1,0
155,apartment,Almagro,Capital Federal,120000.0,47.0,3.0,1.0,1,0,0,0,0,0,0,0,0
156,apartment,Nordelta,Bs.As. G.B.A. Zona Norte,380000.0,120.0,3.0,2.0,0,1,0,0,0,0,0,0,0
157,house,Moreno,Bs.As. G.B.A. Zona Oeste,400000.0,380.0,1.0,1.0,0,1,1,1,0,1,0,0,0
158,house,Tigre,Bs.As. G.B.A. Zona Norte,365000.0,220.0,1.0,1.0,0,0,0,1,0,0,0,0,0
159,apartment,Monserrat,Capital Federal,120000.0,60.0,2.0,1.0,1,0,0,0,0,0,0,0,0
160,apartment,Recoleta,Capital Federal,690000.0,235.0,5.0,1.0,1,1,0,0,0,1,0,0,0
161,PH,San Justo,Bs.As. G.B.A. Zona Oeste,70000.0,45.0,3.0,1.0,1,0,0,0,0,0,0,0,0
162,apartment,Nordelta,Bs.As. G.B.A. Zona Norte,290000.0,120.0,3.0,1.0,1,1,1,1,0,1,0,0,0
163,house,Pilar,Bs.As. G.B.A. Zona Norte,350000.0,230.0,1.0,1.0,0,0,1,1,0,1,0,0,0
164,apartment,Nordelta,Bs.As. G.B.A. Zona Norte,300000.0,115.0,4.0,1.0,1,1,1,0,0,1,0,0,0
165,house,Floresta,Capital Federal,280000.0,100.0,1.0,1.0,0,1,1,0,0,1,1,1,0
166,apartment,Belgrano,Capital Federal,520000.0,130.0,3.0,1.0,1,1,1,1,0,1,0,1,0
167,apartment,Recoleta,Capital Federal,378000.0,136.0,4.0,1.0,0,1,0,0,0,1,0,0,0
168,house,San Martín,Bs.As. G.B.A. Zona Norte,140000.0,140.0,1.0,1.0,0,1,0,0,0,1,1,1,1
169,apartment,San Martín,Bs.As. G.B.A. Zona Norte,78000.0,36.0,1.0,1.0,1,0,0,0,0,0,0,0,0
170,apartment,Flores,Capital Federal,72000.0,32.0,1.0,1.0,0,0,0,0,0,0,0,0,0
171,apartment,Flores,Capital Federal,120000.0,50.0,1.0,1.0,0,0,0,0,0,0,0,1,0
172,apartment,San Martín,Bs.As. G.B.A. Zona Norte,75000.0,50.0,1.0,1.0,0,0,0,0,0,0,0,0,0
173,apartment,Palermo,Capital Federal,379900.0,175.0,5.0,1.0,1,1,0,0,0,1,0,0,0
174,apartment,Palermo,Capital Federal,95000.0,43.0,2.0,1.0,0,0,0,0,0,0,0,0,0
175,house,Ituzaingó,Bs.As. G.B.A. Zona Oeste,120000.0,100.0,3.0,1.0,0,1,0,0,0,1,0,0,0
176,apartment,Belgrano,Capital Federal,117000.0,44.0,2.0,1.0,0,0,1,0,0,0,1,0,0
177,apartment,Benavidez,Bs.As. G.B.A. Zona Norte,130000.0,51.0,1.0,1.0,1,1,1,1,0,0,0,0,0
178,apartment,Tigre,Bs.As. G.B.A. Zona Norte,160000.0,69.0,2.0,1.0,1,1,1,1,0,0,0,1,0
179,apartment,Tigre,Bs.As. G.B.A. Zona Norte,160000.0,69.0,2.0,1.0,1,1,1,1,0,0,0,1,0
180,apartment,Villa Urquiza,Capital Federal,230000.0,97.0,3.0,1.0,1,1,0,0,0,1,0,0,0
181,apartment,Villa Devoto,Capital Federal,142000.0,54.0,2.0,1.0,1,1,0,0,0,1,0,1,0
182,apartment,Barrio Norte,Capital Federal,250000.0,122.0,1.0,1.0,0,1,1,0,0,0,1,0,0
183,apartment,Boca,Capital Federal,140000.0,74.0,3.0,1.0,1,0,0,0,0,0,0,0,0
184,apartment,Martínez,Bs.As. G.B.A. Zona Norte,167000.0,59.0,2.0,1.0,0,1,0,0,0,1,0,0,0
185,apartment,San Fernando,Bs.As. G.B.A. Zona Norte,125000.0,72.0,1.0,1.0,1,0,0,0,0,0,0,0,0
186,house,Capital Federal,Capital Federal,245000.0,135.0,1.0,1.0,0,1,0,1,0,1,0,0,1
187,house,Vicente López,Bs.As. G.B.A. Zona Norte,570000.0,252.0,1.0,1.0,0,1,1,1,0,1,1,0,0
188,house,Capital Federal,Capital Federal,430000.0,230.0,1.0,1.0,0,0,0,0,0,1,0,1,0
189,house,Capital Federal,Capital Federal,209000.0,140.0,1.0,1.0,0,1,0,1,0,1,0,0,0
190,house,Martínez,Bs.As. G.B.A. Zona Norte,680000.0,398.0,1.0,1.0,0,1,1,1,0,1,0,0,0
191,apartment,Victoria,Bs.As. G.B.A. Zona Norte,122000.0,43.0,1.0,1.0,1,1,1,0,0,0,0,0,0
192,house,Benavidez,Bs.As. G.B.A. Zona Norte,298000.0,200.0,1.0,1.0,0,0,1,1,0,1,0,1,0
193,house,Benavidez,Bs.As. G.B.A. Zona Norte,170000.0,100.0,1.0,1.0,0,0,0,0,0,1,0,0,1
194,house,Capital Federal,Capital Federal,340000.0,200.0,1.0,1.0,0,1,0,0,0,0,0,0,0
195,apartment,Victoria,Bs.As. G.B.A. Zona Norte,125000.0,43.0,2.0,1.0,1,1,1,0,0,0,0,1,0
196,house,Benavidez,Bs.As. G.B.A. Zona Norte,430000.0,251.0,1.0,1.0,0,0,1,1,0,1,0,0,0
197,house,Benavidez,Bs.As. G.B.A. Zona Norte,495000.0,254.0,1.0,1.0,0,0,0,0,0,1,0,0,0
198,house,Capital Federal,Capital Federal,500000.0,280.0,1.0,1.0,0,1,1,1,0,1,0,0,0
199,apartment,Martínez,Bs.As. G.B.A. Zona Norte,193000.0,68.0,1.0,1.0,0,1,0,0,0,1,0,0,0
200,house,Benavidez,Bs.As. G.B.A. Zona Norte,296000.0,150.0,1.0,1.0,0,0,0,0,0,1,0,0,0
201,house,Benavidez,Bs.As. G.B.A. Zona Norte,340000.0,221.0,1.0,1.0,0,1,1,0,0,1,0,0,0
202,house,Benavidez,Bs.As. G.B.A. Zona Norte,550000.0,275.0,1.0,1.0,0,0,1,0,0,1,0,0,0
203,house,Capital Federal,Capital Federal,620000.0,287.0,1.0,1.0,0,1,1,1,0,1,0,1,1
204,PH,Mataderos,Capital Federal,245000.0,160.0,4.0,1.0,0,1,1,1,0,1,0,0,1
205,PH,Mataderos,Capital Federal,165000.0,150.0,3.0,1.0,0,0,0,0,0,0,0,0,0
206,apartment,Coghlan,Capital Federal,214000.0,80.0,4.0,2.0,1,1,0,0,0,0,1,1,0
207,apartment,Palermo,Capital Federal,310000.0,100.0,3.0,1.0,1,1,0,0,0,0,0,0,0
208,house,Tigre,Bs.As. G.B.A. Zona Norte,170000.0,100.0,1.0,1.0,0,0,0,0,0,1,0,0,1
209,apartment,Nordelta,Bs.As. G.B.A. Zona Norte,220000.0,81.0,1.0,1.0,1,1,1,1,0,0,0,1,1
210,apartment,Nordelta,Bs.As. G.B.A. Zona Norte,230000.0,74.0,3.0,1.0,0,1,0,0,0,0,0,0,0
211,apartment,Nordelta,Bs.As. G.B.A. Zona Norte,183000.0,104.0,4.0,1.0,0,1,1,0,0,0,0,1,0
212,apartment,Nordelta,Bs.As. G.B.A. Zona Norte,165000.0,46.0,2.0,1.0,0,1,0,1,0,0,0,0,0
213,apartment,Nordelta,Bs.As. G.B.A. Zona Norte,130000.0,45.0,2.0,1.0,0,1,1,1,0,0,0,1,0
214,apartment,Nordelta,Bs.As. G.B.A. Zona Norte,210000.0,75.0,4.0,1.0,1,1,1,1,0,0,0,0,0
215,apartment,Nordelta,Bs.As. G.B.A. Zona Norte,155000.0,70.0,3.0,1.0,0,1,1,1,0,0,0,1,0
216,apartment,Nordelta,Bs.As. G.B.A. Zona Norte,160000.0,45.0,2.0,1.0,0,1,0,0,0,0,0,0,0
217,house,Tigre,Bs.As. G.B.A. Zona Norte,270000.0,160.0,1.0,2.0,1,0,1,0,0,1,0,0,0
218,house,Tigre,Bs.As. G.B.A. Zona Norte,290000.0,160.0,1.0,2.0,1,0,0,0,0,1,0,0,0
219,house,Nordelta,Bs.As. G.B.A. Zona Norte,1200000.0,462.0,1.0,2.0,1,0,1,1,0,1,0,0,0
220,house,Nordelta,Bs.As. G.B.A. Zona Norte,720000.0,210.0,1.0,1.0,0,0,1,1,0,1,0,0,1
221,house,Tigre,Bs.As. G.B.A. Zona Norte,590000.0,340.0,1.0,1.0,0,1,0,1,0,0,0,0,0
222,apartment,Nordelta,Bs.As. G.B.A. Zona Norte,130000.0,50.0,2.0,1.0,1,1,1,1,0,0,0,0,0
223,apartment,Rincón de Milberg,Bs.As. G.B.A. Zona Norte,165000.0,68.0,3.0,1.0,0,1,1,1,0,0,0,0,1
224,apartment,Tigre,Bs.As. G.B.A. Zona Norte,225000.0,75.0,3.0,1.0,1,1,0,1,0,1,0,1,0
225,apartment,Nordelta,Bs.As. G.B.A. Zona Norte,182000.0,68.0,3.0,1.0,0,1,1,1,0,0,0,1,0
226,house,Tigre,Bs.As. G.B.A. Zona Norte,420000.0,220.0,1.0,1.0,0,1,0,1,0,0,0,0,0
227,apartment,Nordelta,Bs.As. G.B.A. Zona Norte,188000.0,65.0,3.0,1.0,0,1,1,1,0,1,0,0,1
228,apartment,Nordelta,Bs.As. G.B.A. Zona Norte,130000.0,50.0,2.0,1.0,0,1,1,0,0,0,0,1,0
229,house,Nordelta,Bs.As. G.B.A. Zona Norte,360000.0,180.0,1.0,1.0,0,0,1,1,0,1,0,0,0
230,apartment,Nordelta,Bs.As. G.B.A. Zona Norte,415000.0,91.0,3.0,1.0,1,1,0,0,0,0,0,0,0
231,apartment,Nordelta,Bs.As. G.B.A. Zona Norte,169000.0,48.0,2.0,1.0,0,1,1,1,0,0,0,1,0
