,property_type,place_name,state_name,price_aprox_usd,surface_covered_in_m2,ambientes,baños,balcón,cochera,parrilla,pileta,amoblado,lavadero,patio,terraza,jardin
25049,house,San Isidro,Bs.As. G.B.A. Zona Norte,750000.0,360.0,1.0,1.0,0,1,1,1,0,1,0,0,1
25050,apartment,La Plata,Bs.As. G.B.A. Zona Sur,116000.0,70.0,1.0,1.0,0,1,0,0,0,0,0,0,0
25051,house,Olivos,Bs.As. G.B.A. Zona Norte,217000.0,96.0,1.0,1.0,0,1,0,0,0,1,0,1,0
25052,apartment,Vicente López,Bs.As. G.B.A. Zona Norte,270000.0,52.0,1.0,1.0,0,1,0,0,0,0,0,0,0
25053,house,Villa Ballester,Bs.As. G.B.A. Zona Norte,95000.0,229.0,1.0,1.0,1,1,0,0,0,0,0,1,0
25054,house,Adrogué,Bs.As. G.B.A. Zona Sur,138000.0,90.0,1.0,1.0,0,0,0,0,0,0,0,0,0
25055,apartment,Palermo Soho,Capital Federal,140000.0,39.0,1.0,1.0,1,1,1,0,0,0,0,1,0
25056,apartment,Villa Crespo,Capital Federal,120000.0,53.0,1.0,1.0,1,0,0,0,0,0,0,0,0
25057,house,Pilar,Bs.As. G.B.A. Zona Norte,139544.0,115.0,1.0,1.0,1,0,1,0,0,0,0,1,0
25058,house,Olivos,Bs.As. G.B.A. Zona Norte,180000.0,129.0,1.0,1.0,0,1,0,0,0,1,0,1,1
25059,apartment,Vicente López,Bs.As. G.B.A. Zona Norte,430000.0,84.0,1.0,1.0,1,1,0,0,0,0,0,0,0
25060,house,Banfield,Bs.As. G.B.A. Zona Sur,198000.0,200.0,1.0,1.0,0,0,0,0,0,0,0,0,1
25061,apartment,Almagro,Capital Federal,130000.0,47.0,2.0,1.0,1,0,0,0,0,0,0,0,0
25062,house,La Plata,Bs.As. G.B.A. Zona Sur,100000.0,120.0,1.0,1.0,0,1,0,0,0,0,0,0,0
25063,house,Florida,Bs.As. G.B.A. Zona Norte,580000.0,336.0,1.0,1.0,0,1,1,1,0,1,1,1,1
25064,house,Tigre,Bs.As. G.B.A. Zona Norte,289000.0,300.0,1.0,1.0,1,1,1,1,0,0,0,0,0
25065,PH,Villa Ballester,Bs.As. G.B.A. Zona Norte,120000.0,72.0,1.0,1.0,0,1,0,0,0,0,1,0,0
25066,house,Benavidez,Bs.As. G.B.A. Zona Norte,247000.0,215.0,1.0,1.0,0,1,0,1,0,1,0,0,1
25067,house,Adrogué,Bs.As. G.B.A. Zona Sur,190000.0,145.0,1.0,1.0,0,0,1,0,0,0,0,0,0
25068,apartment,Olivos,Bs.As. G.B.A. Zona Norte,259000.0,75.0,1.0,1.0,1,0,0,0,0,0,0,0,0
25069,house,Villa Ballester,Bs.As. G.B.A. Zona Norte,230000.0,180.0,1.0,1.0,0,0,0,0,0,0,0,0,0
25070,house,Adrogué,Bs.As. G.B.A. Zona Sur,150000.0,120.0,1.0,1.0,0,1,1,0,0,0,0,0,0
25071,house,Lomas de Zamora,Bs.As. G.B.A. Zona Sur,160000.0,100.0,1.0,1.0,0,1,1,1,0,1,1,0,1
25072,apartment,Belgrano,Capital Federal,97100.0,32.0,1.0,1.0,0,0,1,1,0,0,0,0,0
25073,apartment,Vicente López,Bs.As. G.B.A. Zona Norte,310000.0,116.0,1.0,1.0,0,0,0,0,0,1,0,0,0
25074,apartment,Belgrano,Capital Federal,95600.0,32.0,1.0,1.0,0,0,1,1,0,0,0,0,0
25075,apartment,Adrogué,Bs.As. G.B.A. Zona Sur,315000.0,84.0,1.0,1.0,0,1,1,1,0,0,0,1,0
25076,house,Escobar,Bs.As. G.B.A. Zona Norte,250000.0,140.0,1.0,1.0,0,1,1,1,0,1,0,0,1
25077,apartment,Balvanera,Capital Federal,186000.0,99.0,1.0,1.0,0,0,0,0,0,1,0,0,0
25078,house,Adrogué,Bs.As. G.B.A. Zona Sur,390000.0,330.0,1.0,1.0,0,1,1,1,0,1,0,0,1
